100;7;;100;9;;100;9
200;8;;200;10;;200;10
300;9;;300;12;;300;10
400;9;;400;11;;400;11
500;9;;500;14;;500;12
600;10;;600;13;;600;11
700;10;;700;15;;700;10
800;10;;800;12;;800;11
900;10;;900;13;;900;11
1000;10;;1000;15;;1000;12
1100;11;;1100;14;;1100;12
1200;11;;1200;14;;1200;12
1300;11;;1300;14;;1300;11
1400;11;;1400;16;;1400;11
1500;11;;1500;17;;1500;13
1600;11;;1600;13;;1600;12
1700;11;;1700;15;;1700;13
1800;11;;1800;14;;1800;13
1900;11;;1900;17;;1900;16
2000;11;;2000;16;;2000;13
2100;12;;2100;15;;2100;11
2200;12;;2200;15;;2200;12
2300;12;;2300;18;;2300;12
2400;12;;2400;15;;2400;12
2500;12;;2500;16;;2500;13
2600;12;;2600;15;;2600;12
2700;12;;2700;16;;2700;12
2800;12;;2800;17;;2800;13
2900;12;;2900;17;;2900;13
3000;12;;3000;18;;3000;12
3100;12;;3100;16;;3100;12
3200;12;;3200;14;;3200;14
3300;12;;3300;17;;3300;13
3400;12;;3400;16;;3400;13
3500;12;;3500;18;;3500;13
3600;12;;3600;15;;3600;12
3700;12;;3700;18;;3700;15
3800;12;;3800;18;;3800;12
3900;12;;3900;19;;3900;13
4000;12;;4000;17;;4000;12
4100;13;;4100;14;;4100;14
4200;13;;4200;16;;4200;14
4300;13;;4300;17;;4300;16
4400;13;;4400;16;;4400;14
4500;13;;4500;17;;4500;13
4600;13;;4600;19;;4600;15
4700;13;;4700;18;;4700;14
4800;13;;4800;16;;4800;14
4900;13;;4900;17;;4900;13
5000;13;;5000;17;;5000;14
5100;13;;5100;20;;5100;12
5200;13;;5200;16;;5200;14
5300;13;;5300;18;;5300;16
5400;13;;5400;17;;5400;14
5500;13;;5500;20;;5500;13
5600;13;;5600;18;;5600;13
5700;13;;5700;17;;5700;15
5800;13;;5800;18;;5800;13
5900;13;;5900;18;;5900;16
6000;13;;6000;19;;6000;14
6100;13;;6100;20;;6100;14
6200;13;;6200;17;;6200;12
6300;13;;6300;18;;6300;13
6400;13;;6400;15;;6400;15
6500;13;;6500;18;;6500;14
6600;13;;6600;18;;6600;16
6700;13;;6700;18;;6700;16
6800;13;;6800;17;;6800;14
6900;13;;6900;20;;6900;14
7000;13;;7000;19;;7000;16
7100;13;;7100;21;;7100;15
7200;13;;7200;16;;7200;14
7300;13;;7300;17;;7300;16
7400;13;;7400;19;;7400;14
7500;13;;7500;19;;7500;14
7600;13;;7600;19;;7600;13
7700;13;;7700;18;;7700;13
7800;13;;7800;20;;7800;17
7900;13;;7900;21;;7900;15
8000;13;;8000;18;;8000;14
8100;13;;8100;20;;8100;16
8200;14;;8200;15;;8200;13
8300;14;;8300;18;;8300;15
8400;14;;8400;17;;8400;13
8500;14;;8500;18;;8500;16
8600;14;;8600;18;;8600;14
8700;14;;8700;21;;8700;13
8800;14;;8800;17;;8800;15
8900;14;;8900;18;;8900;16
9000;14;;9000;18;;9000;15
9100;14;;9100;19;;9100;13
9200;14;;9200;20;;9200;18
9300;14;;9300;18;;9300;15
9400;14;;9400;19;;9400;14
9500;14;;9500;19;;9500;15
9600;14;;9600;17;;9600;16
9700;14;;9700;20;;9700;16
9800;14;;9800;18;;9800;16
9900;14;;9900;20;;9900;14
10000;14;;10000;18;;10000;14
10100;14;;10100;21;;10100;14
10200;14;;10200;21;;10200;14
10300;14;;10300;19;;10300;13
